iter	RMSE
0	1.114576466
1	1.103634536
2	1.093717396
3	1.084388749
4	1.07596844
5	1.068185576
6	1.061284353
7	1.054675392
8	1.048753949
9	1.043396987
10	1.038536456
11	1.03403489
12	1.029976508
13	1.02630997
14	1.022896967
15	1.019697855
16	1.016911877
17	1.0142413
18	1.011825086
19	1.00958727
20	1.007546532
21	1.005768246
22	1.004016579
23	1.002407452
24	1.000940339
25	0.9996405172
26	0.9984533704
27	0.9973347215
28	0.9962868371
29	0.9953514442
30	0.9944464223
31	0.9936680853
32	0.9929043264
33	0.9921784042
34	0.9915231857
35	0.990922056
36	0.990372067
37	0.9897904692
38	0.9893355353
39	0.9888582407
40	0.9884580473
41	0.9880633728
42	0.9876672041
43	0.9873161088
44	0.9870041095
45	0.9866841634
46	0.9863925256
47	0.9861308474
48	0.9858593548
49	0.9856010437
50	0.9853748908
51	0.9851535659
52	0.9849709205
53	0.9847631602
54	0.9845534866
55	0.9843655718
56	0.9841884036
57	0.9840210542
58	0.983861532
59	0.9837290144
60	0.9836002125
61	0.983475065
62	0.9833082363
63	0.9831887816
64	0.9830805469
65	0.9829765768
66	0.9828831874
67	0.9827469496
68	0.9826084312
69	0.9824852128
70	0.9823725714
71	0.9822672397
72	0.9821872965
73	0.9821087974
74	0.9819988885
75	0.9818861049
76	0.9818099743
77	0.9817335126
78	0.9816478366
79	0.9815842209
80	0.9814981487
81	0.9813867087
82	0.9812674808
83	0.9811763057
84	0.9811186662
85	0.981046213
86	0.9809853076
87	0.980915679
88	0.9808567311
89	0.9807499588
90	0.980689466
91	0.9806165621
92	0.9805605033
93	0.9805211112
94	0.9804667247
95	0.9804260162
96	0.9803743926
97	0.9803361499
98	0.9802721
99	0.9802149953
100	0.9801667563
101	0.9801048241
102	0.9800362602
103	0.9799168774
104	0.979860773
105	0.9798133935
106	0.9797754634
107	0.9797034602
108	0.9796406974
109	0.9795811556
110	0.979518525
111	0.9794610331
112	0.9794474049
113	0.9794072025
114	0.9793080599
115	0.979244425
116	0.9791615418
117	0.9791182929
118	0.9790638833
119	0.9790295553
120	0.9789952933
