iter	Passed	Remaining
0	165	132121
1	328	131017
2	487	129467
3	646	128589
4	812	129153
5	979	129634
6	1145	129737
7	1303	129048
8	1463	128636
9	1622	128196
10	1784	127974
11	1949	128004
12	2106	127512
13	2269	127412
14	2430	127198
15	2593	127067
16	2756	126959
17	2920	126866
18	3082	126689
19	3243	126500
20	3406	126366
21	3570	126270
22	3735	126182
23	3893	125880
24	4051	125592
25	4214	125464
26	4371	125140
27	4534	125034
28	4701	125006
29	4866	124907
30	5037	124952
31	5201	124840
32	5368	124785
33	5527	124542
34	5690	124379
35	5868	124533
36	6033	124414
37	6204	124410
38	6376	124421
39	6539	124242
40	6704	124108
41	6872	124030
42	7040	123947
43	7206	123820
44	7364	123552
45	7526	123361
46	7689	123199
47	7851	123002
48	8010	122777
49	8173	122603
50	8336	122435
51	8502	122304
52	8671	122220
53	8832	122013
54	9005	121979
55	9170	121835
56	9334	121676
57	9506	121612
58	9679	121567
59	9840	121366
60	9999	121136
61	10156	120895
62	10321	120743
63	10488	120620
64	10649	120426
65	10809	120219
66	10972	120042
67	11132	119835
68	11295	119668
69	11454	119452
70	11620	119313
71	11785	119164
72	11940	118914
73	12102	118731
74	12271	118628
75	12439	118506
76	12635	118641
77	12806	118545
78	12975	118424
79	13140	118261
80	13303	118088
81	13475	117992
82	13652	117941
83	13827	117862
84	14001	117777
85	14176	117694
86	14346	117571
87	14514	117432
88	14697	117413
89	14869	117304
90	15033	117130
91	15199	116967
92	15367	116825
93	15530	116640
94	15699	116508
95	15864	116340
96	16030	116180
97	16198	116035
98	16357	115824
99	16524	115671
100	16693	115532
101	16855	115344
102	17022	115192
103	17189	115040
104	17352	114857
105	17516	114681
106	17669	114437
107	17835	114281
108	18001	114122
109	18194	114127
110	18393	114173
111	18568	114066
112	18655	113419
113	18823	113269
114	19021	113300
115	19200	113217
116	19360	113017
117	19527	112860
118	19691	112689
119	19850	112483
120	20011	112295
121	20178	112140
122	20340	111954
123	20501	111765
124	20662	111579
125	20827	111409
126	20988	111224
127	21146	111016
128	21307	110829
129	21468	110643
130	21629	110458
131	21793	110286
132	21952	110091
133	22116	109922
134	22281	109758
135	22446	109592
136	22607	109409
137	22772	109240
138	22931	109048
139	23098	108893
140	23256	108697
141	23420	108525
142	23588	108374
143	23749	108190
144	23911	108013
145	24079	107862
146	24240	107678
147	24403	107505
148	24570	107349
149	24727	107153
150	24890	106980
151	25055	106815
152	25218	106642
153	25376	106450
154	25544	106297
155	25708	106129
156	25868	105947
157	26029	105763
158	26184	105563
159	26342	105370
160	26507	105207
161	26673	105045
162	26830	104852
163	26988	104663
164	27154	104505
165	27321	104348
166	27477	104150
167	27636	103965
168	27797	103788
169	27962	103624
170	28122	103444
171	28286	103279
172	28449	103107
173	28614	102946
174	28667	102384
175	28830	102217
176	28992	102046
177	29157	101888
178	29315	101704
179	29479	101540
180	29641	101370
181	29799	101187
182	29958	101006
183	30123	100848
184	30287	100686
185	30455	100537
186	30615	100361
187	30778	100194
188	30944	100038
189	31106	99868
190	31271	99707
191	31429	99527
192	31590	99355
193	31752	99185
194	31911	99006
195	32082	98867
196	32248	98710
197	32416	98558
198	32575	98381
199	32735	98206
200	32905	98061
201	33073	97911
202	33238	97749
203	33398	97576
204	33564	97417
205	33726	97250
206	33881	97061
207	34038	96878
208	34202	96715
209	34364	96548
210	34526	96378
211	34693	96224
212	34850	96042
213	35011	95873
214	35173	95704
215	35333	95532
216	35502	95381
217	35664	95214
218	35827	95050
219	35995	94898
220	36161	94739
221	36322	94570
222	36393	94165
223	36548	93983
224	36714	93827
225	36878	93664
226	37049	93521
227	37212	93356
228	37368	93176
229	37532	93015
230	37693	92846
231	37848	92664
232	38013	92503
233	38181	92353
234	38339	92177
235	38499	92008
236	38664	91849
237	38831	91695
238	39002	91548
239	39170	91398
240	39338	91245
241	39504	91088
242	39665	90920
243	39827	90753
244	39988	90586
245	40155	90431
246	40316	90263
247	40482	90106
248	40640	89930
249	40800	89761
250	40964	89600
251	41129	89441
252	41287	89265
253	41447	89096
254	41602	88915
255	41762	88744
256	41924	88579
257	42084	88409
258	42246	88244
259	42409	88080
260	42464	87694
261	42629	87536
262	42786	87361
263	42946	87195
264	43110	87033
265	43272	86870
266	43438	86714
267	43601	86553
268	43771	86404
269	43949	86270
270	44126	86136
271	44290	85974
272	44457	85820
273	44616	85651
274	44780	85490
275	44959	85358
276	45119	85189
277	45278	85020
278	45446	84866
279	45613	84710
280	45784	84562
281	45938	84384
282	46111	84238
283	46271	84071
284	46435	83909
285	46601	83752
286	46758	83579
287	46919	83413
288	47089	83262
289	47251	83097
290	47412	82931
291	47579	82774
292	47738	82604
293	47901	82442
294	48061	82274
295	48222	82108
296	48384	81944
297	48553	81790
298	48720	81635
299	48880	81468
300	49044	81306
301	49208	81145
302	49374	80987
303	49534	80819
304	49692	80649
305	49855	80484
306	50021	80327
307	50192	80178
308	50357	80017
309	50518	79852
310	50678	79684
311	50843	79524
312	51006	79360
313	51170	79200
314	51330	79033
315	51496	78874
316	51659	78711
317	51818	78543
318	51979	78376
319	52143	78214
320	52303	78048
321	52468	77887
322	52629	77722
323	52796	77564
324	52955	77396
325	53120	77236
326	53278	77066
327	53454	76921
328	53619	76762
329	53783	76601
330	53946	76438
331	54107	76271
332	54269	76108
333	54431	75942
334	54598	75785
335	54758	75618
336	54922	75457
337	55083	75292
338	55242	75123
339	55399	74951
340	55563	74790
341	55727	74628
342	55888	74463
343	56048	74297
344	56206	74126
345	56365	73958
346	56524	73791
347	56692	73635
348	56853	73469
349	57016	73306
350	57178	73142
351	57336	72973
352	57501	72812
353	57664	72650
354	57826	72487
355	57989	72323
356	58150	72159
357	58314	71997
